                                    Reporte de Prueba de Spotify Ordenado por Titulo
========================================================================================================================
                                            Titulo                                           Artista
                                        All I Have                                    Jennifer Lopez
                                        All I Want                                               Mis
                                    All In My Head                                     Fifth Harmony
                                         All Night                                         The Vamps
                                 All Of The Lights                                        Kanye West
                                          All Rise                                              Blue
                               All The Right Moves                                       OneRepublic
                              All The Small Things                                         blink 182
                                     All The Stars                                    Kendrick Lamar
                           All The Things She Said                                          t.A.T.u.
                                      All Time Low                                        The Wanted
                                      All Time Low                                       Jon Bellion
                                    All You Wanted                                   Michelle Branch
                                         All of Me                                       John Legend
                                       Almost Here                                    Brian McFadden
                                             Alone                                        Marshmello
                                    Alors on danse                                           Stromae
                                      Already Gone                                    Kelly Clarkson
                                    Always On Time                                           Ja Rule
                                        Am I Wrong                                       Nico & Vinz
                                           Amazing                                    George Michael
                                           America                                        Razorlight
                                      American Boy                                           Estelle
                                    American Idiot                                         Green Day
                                      American Pie                                           Madonna
                                          Anaconda                                       Nicki Minaj
                                             Angel                                      Amanda Perez
                                            Animal                                        Neon Trees
                                           Animals                                     Martin Garrix
                                           Animals                                          Maroon 5
                                    Another Chance                                     Roger Sanchez
                           Another Day in Paradise                                            Brandy
                                      Another Love                                         Tom Odell
                                Another Way to Die                                        Jack White
                                       Answerphone                                       Banx & Ranx
                                          Antidote                                      Travis Scott
                                        Antisocial                                        Ed Sheeran
                                      Anyone of Us                                      Gareth Gates
                                          Anywhere                                          Rita Ora
                                         Apologize                                         Timbaland
                                   Are You With Me                                  Lost Frequencies
                             As Good As I Once Was                                        Toby Keith
                            As Long As You Love Me                                     Justin Bieber
                                     Ass Back Home                                  Gym Class Heroes
                                     Ass Like That                                            Eminem
                                         Attention                                      Charlie Puth
                                            Axel F                                        Crazy Frog
                                               Ayo                                       Chris Brown
                                    Ayo Technology                                           50 Cent
                                          BIG BANK                                                YG
                                      BURN IT DOWN                                       Linkin Park
                                  BUTTERFLY EFFECT                                      Travis Scott
                                              Baby                                           Ashanti
                                              Baby                                     Justin Bieber
                                   Baby - I'm Back                                         Baby Bash
                                          Baby Boy                                           Beyonce
                                     Back To Black                                     Amy Winehouse
                                  Back To December                                      Taylor Swift
                                               Bad                                              Wale
                                               Bad                                      David Guetta
                                       Bad At Love                                            Halsey
                                         Bad Blood                                      Taylor Swift
                                         Bad Blood                                      Taylor Swift
                                          Bad Boys                                   Alexandra Burke
                                           Bad Day                                     Daniel Powter
                                       Bad Romance                                         Lady Gaga
                                       Bad Romance                                         Lady Gaga
                                          Bad Vibe                                               M.O
                                    Bad and Boujee                                             Migos
                                          Bag Lady                                       Erykah Badu
                                          Bailando                                  Enrique Iglesias
                                           Bananza                                              Akon
                                         Bang Bang                                          Jessie J
                                      Bang My Head                                      David Guetta
                                         Bangarang                                          Skrillex
                                      Bank Account                                         21 Savage
                                  Barbra Streisand                                        Duck Sauce
                                         Bartender                                                 T
                                      Battle Scars                                     Guy Sebastian
                                       Battlefield                                     Jordin Sparks
                                        Be Alright                                        Dean Lewis
                                       Be Faithful                                      Fatman Scoop
                                       Be With You                                  Enrique Iglesias
                                    Be Without You                                     Mary J. Blige
                                        Beat Again                                               JLS
                                         Beautiful                                        Snoop Dogg
                                         Beautiful                                              Akon
                                   Beautiful Girls                                     Sean Kingston
                                    Beautiful Liar                                           Beyonce
                                 Beautiful Monster                                                Ne
                                  Beautiful People                                       Chris Brown
                                 Beauty And A Beat                                     Justin Bieber
                                Because I Got High                                           Afroman
                                    Because Of You                                                Ne
                                    Because of You                                    Kelly Clarkson
                                               Bed                                        J. Holiday
                                       Bed Of Lies                                       Nicki Minaj
                                           BedRock                                       Young Money
                                              Beep                                The Pussycat Dolls
                                  Before He Cheats                                  Carrie Underwood
                                            Beggin                                            Madcon
                                  Behind Blue Eyes                                       Limp Bizkit
                           Behind These Hazel Eyes                                    Kelly Clarkson
                                          Believer                                   Imagine Dragons
                                              Bent                                   Matchbox Twenty
                                           Berzerk                                            Eminem
                                   Best I Ever Had                                             Drake
                                    Best Song Ever                                     One Direction
                            Best Thing I Never Had                                           Beyonce
                                       Best of You                                      Foo Fighters
                                            Better                                            Khalid
                                        Better Now                                       Post Malone
                                        Better Now                                       Post Malone
                                  Better Off Alone                                      Alice Deejay
                                    Better Than Me                                            Hinder
                                    Better in Time                                       Leona Lewis
                               Big Girls Don't Cry                                            Fergie
                                 Big Green Tractor                                      Jason Aldean
                                       Big Pimpin'                                               JAY
                                   Big Yellow Taxi                                    Counting Crows
                                       Billionaire                                      Travie McCoy
                                      Birthday Sex                                           Jeremih
                        Bitch Better Have My Money                                           Rihanna
                                      Black & Gold                                        Sam Sparro
                                     Black Beatles                                      Rae Sremmurd
                                       Black Betty                                        Spiderbait
                   Black Horse And The Cherry Tree                                       KT Tunstall
                                       Black Magic                                        Little Mix
                                    Black Skinhead                                        Kanye West
                                       Black Widow                                       Iggy Azalea
                                  Black and Yellow                                       Wiz Khalifa
                                    Blah Blah Blah                                             Kesha
                                             Blame                                     Calvin Harris
                                          Blame It                                        Jamie Foxx
                                       Blank Space                                      Taylor Swift
                                      Bleed It Out                                       Linkin Park
                                     Bleeding Love                                       Leona Lewis
                                       Blind Faith                                    Chase & Status
                                              Blow                                             Kesha
                                        Blown Away                                  Carrie Underwood
                                     Blurred Lines                                      Robin Thicke
                                            Blurry                                    Puddle Of Mudd
                                            Boasty                                             Wiley
                                      Bodak Yellow                                           Cardi B
                                      Bodak Yellow                                           Cardi B
                                              Body                                       Loud Luxury
                                        Body Party                                             Ciara
                                     Bonfire Heart                                       James Blunt
                                           Bonkers                                     Dizzee Rascal
                                     Boom Boom Pow                                   Black Eyed Peas
                                         Boom Clap                                        Charli XCX
                                      Bootylicious                                   Destiny's Child
                                             Bored                                     Billie Eilish
                                     Born This Way                                         Lady Gaga
                                       Born To Die                                      Lana Del Rey
                            Born to Make You Happy                                    Britney Spears
                                       Born to Try                                     Delta Goodrem
                                             Bossy                                             Kelis
                                        Bottoms Up                                        Trey Songz
                        Boulevard of Broken Dreams                                         Green Day
                                            Bounce                                     Calvin Harris
                                       Bounce Back                                          Big Sean
                                    Bounce With Me                                           Bow Wow
                                      Boy With Luv                                               BTS
                                         Boyfriend                                     Justin Bieber
                                        Break Free                                     Ariana Grande
                                          Break Up                                             Mario
                                  Break Your Heart                                         Taio Cruz
                                     Break the Ice                                    Britney Spears
                              Breakfast in America                                  Gym Class Heroes
                                Breaking the Habit                                       Linkin Park
                                           Breathe                                        Faith Hill
                                           Breathe                                         Jax Jones
                                           Breathe                                         Jax Jones
                                        Breathless                                         The Corrs
                                      Breezeblocks                                               alt
                                        Brianstorm                                    Arctic Monkeys
                                      Bring Em Out                                              T.I.
                                  Bring Me To Life                                       Evanescence
                                    Broken Strings                                    James Morrison
                                    Broken Strings                                    James Morrison
                                       Bulletproof                                           La Roux
                                Bump - Bump - Bump                                               B2K
                                              Burn                                    Ellie Goulding
                                              Burn                                    Ellie Goulding
                                        Burnin' Up                                    Jonas Brothers
                              Bust It Baby - Pt. 2                                             Plies
                                         Butterfly                                        Crazy Town
                                           Buttons                                The Pussycat Dolls
                                     Buy U a Drank                                                 T
                                      Buzzin Remix                                              Mann
                                        By the Way                             Red Hot Chili Peppers
                                       Bye Bye Bye                                            *NSYNC
                                             C'Mon                                             Kesha
                           CAN'T STOP THE FEELING!                                 Justin Timberlake
                                 Cake By The Ocean                                              DNCE
                                  California Gurls                                        Katy Perry
                                     Call Me Maybe                                  Carly Rae Jepsen
                         Call Me When You're Sober                                       Evanescence
                                  Call Out My Name                                        The Weeknd
                                        Call on Me                                        Eric Prydz
                                        Call on Me                                           Starley
                                          Callaita                                         Bad Bunny
                                             Calma                                        Pedro Capo
                                    Can't Be Tamed                                       Miley Cyrus
                                  Can't Believe It                                                 T
                                Can't Feel My Face                                        The Weeknd
                         Can't Fight The Moonlight                                       LeAnn Rimes
                      Can't Get You out of My Head                                     Kylie Minogue
                               Can't Help but Wait                                        Trey Songz
                                     Can't Hold Us                           Macklemore & Ryan Lewis
                                Can't Hold Us Down                                Christina Aguilera
                                  Can't Let You Go                                          Fabolous
                                        Can't Stop                             Red Hot Chili Peppers
                             Can't Tell Me Nothing                                        Kanye West
                                             Candy                                   Robbie Williams
                                        Candy Shop                                           50 Cent
                                          Candyman                                Christina Aguilera
                                         Carry Out                                         Timbaland
                                    Case Of The Ex                                               Mya
                                         Cater 2 U                                   Destiny's Child
                                         Caught Up                                             Usher
                              Caught in the Middle                                                A1
                                         Centuries                                      Fall Out Boy
                                     Cha Cha Slide                                         DJ Casper
                                    Chain Hang Low                                             Jibbs
                             Chained To The Rhythm                                        Katy Perry
                                          Champion                                              Chip
                                        Chandelier                                               Sia
                       Changed the Way You Kiss Me                                           Example
                                 Chasing Pavements                                             Adele
                                   Chasing The Sun                                        The Wanted
                                     Cheap Thrills                                               Sia
                                       Check On It                                           Beyonce
                                    Chelsea Dagger                                     The Fratellis
                                        Chill Bill                                         Rob $tone
                                        Chill Bill                                         Rob $tone
                                             China                                          Anuel AA
                                        Ciao Adios                                              Anne
                                           Circles                                       Post Malone
                                            Circus                                    Britney Spears
                                           Clarity                                              Zedd
                                           Classic                                              MKTO
                            Cleanin' Out My Closet                                            Eminem
                                    Clint Eastwood                                          Gorillaz
                                            Clocks                                          Coldplay
                                            Clocks                                          Coldplay
                                             Close                                        Nick Jonas
                                            Closer                                                Ne
                                            Closer                                          Lemaitre
                                            Closer                                  The Chainsmokers
                                             Clout                                            Offset
                              Club Can't Handle Me                                          Flo Rida
                                            Clumsy                                            Fergie
                                              CoCo                                      O.T. Genasis
                                              Cold                                          Maroon 5
                                        Cold Water                                       Major Lazer
                                       Cold as Ice                                            M.O.P.
                                    Collard Greens                                       ScHoolboy Q
                                     Come & Get It                                      Selena Gomez
                                      Come With Me                                        Special D.
                                 Come on over Baby                                Christina Aguilera
                                        Come to Me                                             Diddy
                                  Comfortably Numb                                   Scissor Sisters
                                       Coming Home                                             Diddy
                                         Commander                                     Kelly Rowland
                                       Complicated                                     Avril Lavigne
                                         Con Calma                                      Daddy Yankee
                                         Confident                                       Demi Lovato
                                   Congratulations                                       Post Malone
                                    Control Myself                                         LL Cool J
                                        Cookie Jar                                  Gym Class Heroes
                                              Cool                                      Gwen Stefani
                                         Cool Girl                                           Tove Lo
                                         Cool Kids                                         Echosmith
                               Cool for the Summer                                       Demi Lovato
                                    Cooler Than Me                                       Mike Posner
                                           Corazon                                            Maluma
                                    Counting Stars                                       OneRepublic
                                   Country Grammar                                             Nelly
                                    Crack A Bottle                                            Eminem
                                        Crank That                                        Soulja Boy
                                        Crank That                                        Soulja Boy
                                    Crash and Burn                                     Savage Garden
                                             Crazy                                                 K
                                             Crazy                                    Gnarls Barkley
                                     Crazy In Love                                           Beyonce
                                          Criminal                                     Natti Natasha
                                          Cross Me                                        Ed Sheeran
                                        Crossroads                                     Blazin' Squad
                                      Cruel Summer                                      Taylor Swift
                                            Cruise                              Florida Georgia Line
                                             Crush                                   David Archuleta
                                    Cry Me a River                                 Justin Timberlake
                                       Cry for You                                         September
                                       Cry for You                                         September
                                              DARE                                          Gorillaz
                         DJ Got Us Fallin' In Love                                             Usher
                                              DNA.                                    Kendrick Lamar
                                       DONTTRUSTME                                             3OH!3
                                  DUELE EL CORAZON                                  Enrique Iglesias
                                      Daddy Issues                                 The Neighbourhood
                                            Dakota                                     Stereophonics
                                           Damaged                                       Danity Kane
                                             Damn!                                       Youngbloodz
                                     Dance - Dance                                      Fall Out Boy
                                       Dance Again                                    Jennifer Lopez
                                      Dance Monkey                                       Tones And I
                                      Dance Wiv Me                                     Dizzee Rascal
                                     Dance with Me                                    Debelah Morgan
                                 Dancing On My Own                                             Robyn
                           Dancing With A Stranger                                         Sam Smith
                              Danger! High Voltage                                      Electric Six
                                         Dangerous                                Kardinal Offishall
                                   Dangerous Woman                                     Ariana Grande
                                       Dangerously                                      Charlie Puth
                                   Dani California                             Red Hot Chili Peppers
                                      Danza Kuduro                                           Lucenzo
                                        Dark Horse                                        Katy Perry
                                      Day 'N' Nite                                          Kid Cudi
                                          Daylight                                          Maroon 5
                                        Days Go By                                       Dirty Vegas
                                     Dead And Gone                                              T.I.
                                      Dear Darlin'                                         Olly Murs
                          Dear Maria - Count Me In                                      All Time Low
                                           Deja Vu                                           Beyonce
                                            Demons                                   Imagine Dragons
                                       Desert Rose                                             Sting
                                         Despacito                                        Luis Fonsi
                              Destination Calabria                                      Alex Gaudino
                                            Deuces                                       Chris Brown
                                          Diamonds                                           Rihanna
                        Diamonds From Sierra Leone                                        Kanye West
                                             Diary                                       Alicia Keys
                                   Die Another Day                                           Madonna
                                         Die Young                                             Kesha
                                       Differences                                          Ginuwine
                                           Dilemma                                             Nelly
                                        Dip It Low                                  Christina Milian
                                            Dirrty                                Christina Aguilera
                            Dirt Off Your Shoulder                                               JAY
                                  Dirt Road Anthem                                      Jason Aldean
                               Dirty Little Secret                                           The All
                               Dirty Little Secret                                           The All
                                     Disco Inferno                                           50 Cent
                                         Disturbia                                           Rihanna
                                  Do I Wanna Know?                                    Arctic Monkeys
                                       Do It Again                                           Pia Mia
                                 Do It Like A Dude                                          Jessie J
                                       Do It To It                                           Cherish
                                      Do You Know?                                  Enrique Iglesias
                            Do You Really Like It?                                     DJ Pied Piper
                                   Do You Remember                                          Jay Sean
                                    Do You Want To                                   Franz Ferdinand
                             Doesn't Really Matter                                     Janet Jackson
                                        Doin' Time                                      Lana Del Rey
                                            Domino                                          Jessie J
                                             Don't                                        Ed Sheeran
                                             Don't                                     Bryson Tiller
                                             Don't                                     Bryson Tiller
                                Don't Call Me Baby                                    Madison Avenue
                                  Don't Call Me Up                                             Mabel
                                         Don't Cha                                The Pussycat Dolls
                             Don't Forget About Us                                      Mariah Carey
                                     Don't Give Up                                           Chicane
                            Don't Hold Your Breath                                Nicole Scherzinger
                                 Don't Let Me Down                                  The Chainsmokers
                               Don't Let Me Get Me                                              P!nk
                                         Don't Lie                                   Black Eyed Peas
                            Don't Love You No More                                       Craig David
                                      Don't Matter                                              Akon
                                        Don't Mind                                        Kent Jones
                         Don't Phunk With My Heart                                   Black Eyed Peas
                                   Don't Start Now                                          Dua Lipa
                                 Don't Stop Movin'                                          S Club 7
                              Don't Stop The Music                                           Rihanna
                              Don't Stop the Party                                           Pitbull
                                    Don't Tell 'Em                                           Jeremih
                                     Don't Tell Me                                           Madonna
                                     Don't Tell Me                                     Avril Lavigne
                               Don't Think I'm Not                                             Kandi
                                  Don't Wake Me Up                                       Chris Brown
                               Don't Wanna Go Home                                      Jason Derulo
