                                                            PLATAFORMA DE STREAMING TP
                                                  DETALLE COMPLETO DE REPRODUCCION DE STREAMS
======================================================================================================================================================
 STREAM         IDIOMA      CATEGORIA       DURACION    REP.ANTIGUA   REP.RECIENTE   PROM.RAT.CAL     PROM.TASA.DROP-OFF         #REPR.      TOT.REPR.
 875110          2062         U1045         01:43:14     22/08/2025     22/08/2025         3.37            95.60%                   1        01:43:14
 884135          4003         M1088         00:52:26     30/07/2025     25/08/2025         2.81            41.43%                   6        05:14:36
 888106          4013         W1042         01:22:42     17/07/2025     22/08/2025         2.92            57.98%                   9        12:24:18
 914103          3001         N1001         02:18:40     15/07/2025     27/08/2025         2.62            44.40%                   5        11:33:20
 914175          3001         N1013         00:42:35     19/07/2025     24/08/2025         3.37            39.92%                   4        02:50:20
 925120          3071         E1057         00:59:53     15/08/2025     21/08/2025         2.33            41.95%                   2        01:59:46
 927148          2055         N1099         01:56:59     24/07/2025     31/08/2025         4.09            53.72%                   5        09:44:55
 929142          1005         S1083         01:22:50     21/07/2025     28/08/2025         3.00            44.74%                   8        11:02:40
 939139          4003         G1043         02:10:48     19/07/2025     03/09/2025         3.55            50.43%                  10        21:48:00
 970129          4009         Q1023         02:05:26     17/07/2025     02/09/2025         3.14            70.24%                   5        10:27:10
 977179          3001         A1054         01:04:09     23/07/2025     06/08/2025         2.74            44.65%                   2        02:08:18
 978138          1005         A1063         02:03:12     23/07/2025     02/09/2025         3.95            46.45%                   6        12:19:12
 979189          2062         Z1085         00:43:21     23/07/2025     30/08/2025         2.89            57.07%                   4        02:53:24
 990168          3071         Z1085         00:19:44     23/07/2025     01/09/2025         3.58            33.75%                   4        01:18:56
 992165          3009         I1015         01:30:50     17/07/2025     09/08/2025         3.12            37.65%                   4        06:03:20
 994181          3006         G1051         00:08:00     20/07/2025     01/09/2025         3.74            65.37%                   7        00:56:00
------------------------------------------------------------------------------------------------------------------------------------------------------
RESUMEN:
STREAM CON MAYOR DURACION:        175109 - 02:22:23 hrs.
STREAM CON MENOR DURACION:        360187 - 00:00:56 hrs.
------------------------------------------------------------------------------------------------------------------------------------------------------
